name,cityid,group,group_name,nameid
福岡,1863958,8,九州 沖縄,fukuoka
佐賀,1853299,8,九州 沖縄,saga
長崎,1856156,8,九州 沖縄,nagasaki
大分,1854484,8,九州 沖縄,ooita
熊本,1858419,8,九州 沖縄,kumamoto
宮崎,1856710,8,九州 沖縄,miyazaki
鹿児島,1860825,8,九州 沖縄,kagosima
沖縄,1854345,8,九州 沖縄,okinawa
香川,1860834,7,四国,kagawa
徳島,1850157,7,四国,tokusima
愛媛,1864226,7,四国,ehime
高知,1859133,7,四国,kouchi
鳥取,1849890,6,中国,tottori
島根,1852442,6,中国,simane
岡山,1854381,6,中国,okayama
広島,1862413,6,中国,hirosima
山口,1848681,6,中国,yamaguti
滋賀,1852553,5,近畿,siga
兵庫,1862047,5,近畿,hyougo
奈良,1855608,5,近畿,nara
和歌山,1848938,5,近畿,wakayama
大阪,1853909,5,近畿,oosaka
京都,1857910,5,近畿,kyouto
福井,1863983,4,中部,hukui
岐阜,1863640,4,中部,gihu
愛知,1865694,4,中部,aiti
静岡,1851715,4,中部,sizuoka
三重,1857352,4,中部,mie
東京,1850147,3,関東,tokyo
千葉,2113014,3,関東,chiba
神奈川,1860291,3,関東,kanagawa
栃木,1850310,3,関東,totigi
群馬,1863501,3,関東,gunnma
茨城,2112669,3,関東,ibaraki
埼玉,1853226,3,関東,saitama
山梨,1848649,3,関東,yamanasi
新潟,1855429,2,北陸 信越,niigata
石川,1861387,2,北陸 信越,isikawa
富山,1849872,2,北陸 信越,toyama
長野,1856210,2,北陸 信越,nagano
北海道,2130037,1,北海道 東北,hokkaidou
青森,2130656,1,北海道 東北,aomori
秋田,2113124,1,北海道 東北,akita
岩手,2112518,1,北海道 東北,iwate
山形,2110554,1,北海道 東北,yamagata
宮城,2111888,1,北海道 東北,miyagi
福島,2112922,1,北海道 東北,hukusima
