	name	cityid	lat	lon	google
420	Taketomi	1850822	24.330669	124.08506000000001	https://www.google.co.jp/maps/@24.330669,124.08506,15z
1267	Ōhama	1854588	24.344481	124.19706000000001	https://www.google.co.jp/maps/@24.344481,124.19706,15z
295	Ishigaki	1861416	24.34478	124.157173	https://www.google.co.jp/maps/@24.34478,124.157173,15z
1369	Yonakuni	1848266	24.466669	123.0	https://www.google.co.jp/maps/@24.466669,123,15z
1323	Minami	2111937	24.783331	141.316666	https://www.google.co.jp/maps/@24.783331,141.316666,15z
1265	Nanabari	1852579	24.783461	125.30869299999999	https://www.google.co.jp/maps/@24.783461,125.308693,15z
968	Hirara	1862505	24.799999	125.28333300000001	https://www.google.co.jp/maps/@24.799999,125.283333,15z
1262	shimochi	7533595	24.827169	125.14946699999999	https://www.google.co.jp/maps/@24.827169,125.149467,15z
380	Okinawa-ken	1854345	25.772249	126.668709	https://www.google.co.jp/maps/@25.772249,126.668709,15z
1266	Shinhigashi	1852038	25.85195	131.259277	https://www.google.co.jp/maps/@25.85195,131.259277,15z
1263	Nakanoku	1855847	25.94562	131.31088300000002	https://www.google.co.jp/maps/@25.94562,131.310883,15z
515	Itoman	1861280	26.12472	127.66944099999999	https://www.google.co.jp/maps/@26.12472,127.669441,15z
413	Nishihara	1855342	26.18417	127.755829	https://www.google.co.jp/maps/@26.18417,127.755829,15z
981	Haebaru	1894628	26.184719	127.722504	https://www.google.co.jp/maps/@26.184719,127.722504,15z
1129	Tomigusuku	1850108	26.184998999999998	127.675003	https://www.google.co.jp/maps/@26.184999,127.675003,15z
967	Tokashiki	1850213	26.192498999999998	127.35861200000001	https://www.google.co.jp/maps/@26.192499,127.358612,15z
1269	Kaganji	1860847	26.200001	127.650002	https://www.google.co.jp/maps/@26.200001,127.650002,15z
982	Yonabaru	1848281	26.201389000000002	127.753891	https://www.google.co.jp/maps/@26.201389,127.753891,15z
1333	Naha-shi	1856035	26.2125	127.68110700000001	https://www.google.co.jp/maps/@26.2125,127.681107,15z
467	Zamami	1848002	26.224171000000002	127.30110900000001	https://www.google.co.jp/maps/@26.224171,127.301109,15z
219	Urazoe	1894619	26.254440000000002	127.70638999999998	https://www.google.co.jp/maps/@26.25444,127.70639,15z
110	Ganiko	1863683	26.256009999999996	127.75351	https://www.google.co.jp/maps/@26.25601,127.75351,15z
312	Ginowan	1863627	26.26265	127.761467	https://www.google.co.jp/maps/@26.26265,127.761467,15z
1088	Chatan	1864652	26.309440999999996	127.770279	https://www.google.co.jp/maps/@26.309441,127.770279,15z
71	Okinawa	1894616	26.335831	127.80139199999999	https://www.google.co.jp/maps/@26.335831,127.801392,15z
24	Haebaru	1863426	26.336940999999996	127.87194099999999	https://www.google.co.jp/maps/@26.336941,127.871941,15z
1268	Nosato	1854964	26.35	127.76666999999999	https://www.google.co.jp/maps/@26.35,127.76667,15z
1034	Gushikawa	1863495	26.354440999999998	127.86860700000001	https://www.google.co.jp/maps/@26.354441,127.868607,15z
198	Furugen	1863837	26.368589	127.75110600000001	https://www.google.co.jp/maps/@26.368589,127.751106,15z
517	Ishikawa	1861393	26.42333	127.82138799999998	https://www.google.co.jp/maps/@26.42333,127.821388,15z
1179	Kin	1859462	26.452221	127.917778	https://www.google.co.jp/maps/@26.452221,127.917778,15z
1084	Ginoza	1863625	26.47611	127.97306100000002	https://www.google.co.jp/maps/@26.47611,127.973061,15z
1193	Onna	1854037	26.492781	127.85083	https://www.google.co.jp/maps/@26.492781,127.85083,15z
1250	Higashi	1862855	26.576389000000002	127.22138999999999	https://www.google.co.jp/maps/@26.576389,127.22139,15z
1264	Nishi	1855357	26.58333	127.23333000000001	https://www.google.co.jp/maps/@26.58333,127.23333,15z
850	Nago	1856068	26.58806	127.97611200000001	https://www.google.co.jp/maps/@26.58806,127.976112,15z
1089	Motobu	1894388	26.652781	127.89028200000001	https://www.google.co.jp/maps/@26.652781,127.890282,15z
1180	Nakijin	1855713	26.675831	127.971672	https://www.google.co.jp/maps/@26.675831,127.971672,15z
1235	Izena	1861124	26.916269	127.93356299999999	https://www.google.co.jp/maps/@26.916269,127.933563,15z
1261	Chabana	1864655	27.049999	128.416672	https://www.google.co.jp/maps/@27.049999,128.416672,15z
1081	Wadomari	1848988	27.383328999999996	128.649994	https://www.google.co.jp/maps/@27.383329,128.649994,15z
1004	Kunigami	1858373	27.41667	128.683334	https://www.google.co.jp/maps/@27.41667,128.683334,15z
195	Uken	1849347	28.299999	129.233337	https://www.google.co.jp/maps/@28.299999,129.233337,15z
504	Naze	1855540	28.366671000000004	129.483337	https://www.google.co.jp/maps/@28.366671,129.483337,15z
1301	Wano	1848906	28.41667	129.699997	https://www.google.co.jp/maps/@28.41667,129.699997,15z
1304	Jūrokuban	1860941	30.6	130.983337	https://www.google.co.jp/maps/@30.6,130.983337,15z
1143	Nishinoomote	1855203	30.73333	131.0	https://www.google.co.jp/maps/@30.73333,131,15z
554	Kagoshima-ken	1860825	31.032249	130.432922	https://www.google.co.jp/maps/@31.032249,130.432922,15z
909	Ibusuki	1862010	31.23333	130.649994	https://www.google.co.jp/maps/@31.23333,130.649994,15z
944	Makurazaki	1857712	31.26667	130.316666	https://www.google.co.jp/maps/@31.26667,130.316666,15z
601	Kanoya	1860112	31.383328999999996	130.850006	https://www.google.co.jp/maps/@31.383329,130.850006,15z
513	Kaseda	1859964	31.41667	130.316666	https://www.google.co.jp/maps/@31.41667,130.316666,15z
555	Sesekushi	1852685	31.41667	130.516663	https://www.google.co.jp/maps/@31.41667,130.516663,15z
1173	Kushima	1895695	31.45833	131.233337	https://www.google.co.jp/maps/@31.45833,131.233337,15z
943	Shibushi	1852588	31.466669	131.104996	https://www.google.co.jp/maps/@31.466669,131.104996,15z
183	Tarumizu	1850589	31.48333	130.699997	https://www.google.co.jp/maps/@31.48333,130.699997,15z
1338	Kagoshima-shi	1860827	31.560181	130.55813600000002	https://www.google.co.jp/maps/@31.560181,130.558136,15z
474	Hioki	1862569	31.58333	130.350006	https://www.google.co.jp/maps/@31.58333,130.350006,15z
747	kagoshima	7303136	31.595791	130.556717	https://www.google.co.jp/maps/@31.595791,130.556717,15z
257	Nichinan	1855476	31.6	131.366669	https://www.google.co.jp/maps/@31.6,131.366669,15z
454	Todaka	1850302	31.6	131.366669	https://www.google.co.jp/maps/@31.6,131.366669,15z
298	Ijuin	1861825	31.616671000000004	130.399994	https://www.google.co.jp/maps/@31.616671,130.399994,15z
20	Sueyoshi	1851542	31.65	131.016663	https://www.google.co.jp/maps/@31.65,131.016663,15z
