name	cityid	lat	lon	google
Ishikawa-ken	1861387	36.77145	136.770493	https://www.google.co.jp/maps/@36.77145,136.770493,15z
Matoba	1857578	34.25	133.949997	https://www.google.co.jp/maps/@34.25,133.949997,15z
Japan	1861060	35.68536	139.753098	https://www.google.co.jp/maps/@35.68536,139.753098,15z
Hokkaidō	2130037	43.06451	141.346603	https://www.google.co.jp/maps/@43.06451,141.346603,15z
Hashimoto	2130135	40.816669	140.75	https://www.google.co.jp/maps/@40.816669,140.75,15z
Tsukuba-kenkyūgakuen-toshi	2110681	36.083328	140.116669	https://www.google.co.jp/maps/@36.083328,140.116669,15z
Higashi-asahimachi	1862845	35.466671	133.066666	https://www.google.co.jp/maps/@35.466671,133.066666,15z
Hanabatachō	1863250	32.799999	130.699997	https://www.google.co.jp/maps/@32.799999,130.699997,15z
Senzaki	1852699	34.383331	131.199997	https://www.google.co.jp/maps/@34.383331,131.199997,15z
Sakaki	1853163	36.466671	138.183334	https://www.google.co.jp/maps/@36.466671,138.183334,15z
Daisen	1864427	35.383331	133.533325	https://www.google.co.jp/maps/@35.383331,133.533325,15z
Ikaruga	1861816	34.833328	134.583328	https://www.google.co.jp/maps/@34.833328,134.583328,15z
Matsuzaki	1857451	34.75	138.783325	https://www.google.co.jp/maps/@34.75,138.783325,15z
Noboribetsu	2128894	42.451389	141.173065	https://www.google.co.jp/maps/@42.451389,141.173065,15z
Tōkyō-to	1850144	35.689499	139.691711	https://www.google.co.jp/maps/@35.689499,139.691711,15z
Kimiidera	1859472	34.183331	135.199997	https://www.google.co.jp/maps/@34.183331,135.199997,15z
Youkaichi	1848382	35.116261	136.197678	https://www.google.co.jp/maps/@35.116261,136.197678,15z
Ushibuka	1849154	32.190559	130.022781	https://www.google.co.jp/maps/@32.190559,130.022781,15z
Suzaka	1851357	36.650002	138.316666	https://www.google.co.jp/maps/@36.650002,138.316666,15z
Susaki	1851390	33.366669	133.283325	https://www.google.co.jp/maps/@33.366669,133.283325,15z
Sueyoshi	1851542	31.65	131.016663	https://www.google.co.jp/maps/@31.65,131.016663,15z
Shinichi	1852102	34.549999	133.266663	https://www.google.co.jp/maps/@34.549999,133.266663,15z
Ono	1854028	34.283329	132.266663	https://www.google.co.jp/maps/@34.283329,132.266663,15z
Hofu	1862302	34.049999	131.566666	https://www.google.co.jp/maps/@34.049999,131.566666,15z
Haebaru	1863426	26.336941	127.871941	https://www.google.co.jp/maps/@26.336941,127.871941,15z
Onagawa Cho	2111401	38.438332	141.449997	https://www.google.co.jp/maps/@38.438332,141.449997,15z
Hinode	2130075	43.066669	141.916672	https://www.google.co.jp/maps/@43.066669,141.916672,15z
Hyōgo-ken	1862047	35.040321	134.825974	https://www.google.co.jp/maps/@35.040321,134.825974,15z
Myōrakuji	1856300	34.966671	134.916672	https://www.google.co.jp/maps/@34.966671,134.916672,15z
Ehime-ken	1864226	33.625801	132.854721	https://www.google.co.jp/maps/@33.625801,132.854721,15z
Yokogawara	1926016	33.803761	132.886414	https://www.google.co.jp/maps/@33.803761,132.886414,15z
Yamagata-ken	2110554	38.450298	140.099701	https://www.google.co.jp/maps/@38.450298,140.099701,15z
Mazawa	2114102	38.433891	140.124176	https://www.google.co.jp/maps/@38.433891,140.124176,15z
Yamaguchi-ken	1848681	34.206081	131.570465	https://www.google.co.jp/maps/@34.206081,131.570465,15z
Daidō	1864470	34.049999	131.483337	https://www.google.co.jp/maps/@34.049999,131.483337,15z
Yamanashi-ken	1848649	35.61602	138.608002	https://www.google.co.jp/maps/@35.61602,138.608002,15z
Isawa	1861454	35.650002	138.633331	https://www.google.co.jp/maps/@35.650002,138.633331,15z
Aichi-ken	1865694	35.180168	136.906555	https://www.google.co.jp/maps/@35.180168,136.906555,15z
Arimatsu	1865110	35.066669	136.966675	https://www.google.co.jp/maps/@35.066669,136.966675,15z
Wada	2110608	39.650002	140.216675	https://www.google.co.jp/maps/@39.650002,140.216675,15z
Ibaraki-ken	2112669	36.310349	140.316147	https://www.google.co.jp/maps/@36.310349,140.316147,15z
Mukai-awagasaki	1856472	36.633331	136.633331	https://www.google.co.jp/maps/@36.633331,136.633331,15z
Kobaruyama	1859181	32.01667	131.283325	https://www.google.co.jp/maps/@32.01667,131.283325,15z
Sembonyama	1852748	32.700001	129.850006	https://www.google.co.jp/maps/@32.700001,129.850006,15z
Morizane	1856566	33.400002	131.033325	https://www.google.co.jp/maps/@33.400002,131.033325,15z
Shiobaru	1852025	33.566669	130.433334	https://www.google.co.jp/maps/@33.566669,130.433334,15z
Ono	1854029	33.98333	134.366669	https://www.google.co.jp/maps/@33.98333,134.366669,15z
Nagao	1856207	34.26667	134.166672	https://www.google.co.jp/maps/@34.26667,134.166672,15z
Ageki	1865721	35.150002	136.516663	https://www.google.co.jp/maps/@35.150002,136.516663,15z
Hayashi	1862978	35.216671	139.633331	https://www.google.co.jp/maps/@35.216671,139.633331,15z
Kamonomiya	1860310	35.283329	139.183334	https://www.google.co.jp/maps/@35.283329,139.183334,15z
Koyasu	1907255	35.41806	139.255554	https://www.google.co.jp/maps/@35.41806,139.255554,15z
Miyanomae	1907235	35.422779	139.392776	https://www.google.co.jp/maps/@35.422779,139.392776,15z
Kubota	6419788	35.453331	140.008331	https://www.google.co.jp/maps/@35.453331,140.008331,15z
Shimo-kodanaka	1852278	35.566669	139.633331	https://www.google.co.jp/maps/@35.566669,139.633331,15z
